"NFGOVCOFOG_FUNCTION","Government function","NFGOVCOFOG_ITEM","Item","NFGOVCOFOG_SECTOR","Institutional sector","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"TOT","Total","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2017","2017",85238.1,,
"TOT","Total","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2017","2017",5735.8,,
"TOT","Total","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2017","2017",25454.1,,
"TOT","Total","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2017","2017",7541.9,,
"TOT","Total","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2017","2017",1316.1,,
"TOT","Total","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2017","2017",22228,,
"TOT","Total","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2017","2017",8439.9,,
"TOT","Total","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2017","2017",11970.6,,
"TOT","Total","D9","Capital transfers (D.9)","S1312","Communities and regions","A","Annual","2017","2017",2551.6,,
"TOT","Total","P3","Final consumption expenditure (P.3)","S1312","Communities and regions","A","Annual","2017","2017",40772.8,,
"F01","01 General public services","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2017","2017",14194.6,,
"F01","01 General public services","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2017","2017",2177.1,,
"F01","01 General public services","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2017","2017",3118.4,,
"F01","01 General public services","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01","01 General public services","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2017","2017",1316.1,,
"F01","01 General public services","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01","01 General public services","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2017","2017",1763.4,,
"F01","01 General public services","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2017","2017",5482.6,,
"F01","01 General public services","D9","Capital transfers (D.9)","S1312","Communities and regions","A","Annual","2017","2017",336.8,,
"F01","01 General public services","P3","Final consumption expenditure (P.3)","S1312","Communities and regions","A","Annual","2017","2017",2359,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2017","2017",879.1,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2017","2017",25.9,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2017","2017",420.3,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2017","2017",305.7,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2017","2017",81.6,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","D9","Capital transfers (D.9)","S1312","Communities and regions","A","Annual","2017","2017",45.6,,
"F01_1","01.1 Executive and legislative organs, financial and fiscal affairs, external affairs","P3","Final consumption expenditure (P.3)","S1312","Communities and regions","A","Annual","2017","2017",721.3,,
"F01_2","01.2 Foreign economic aid","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2017","2017",39.7,,
"F01_2","01.2 Foreign economic aid","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2017","2017",0.1,,
"F01_2","01.2 Foreign economic aid","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2017","2017",7.5,,
"F01_2","01.2 Foreign economic aid","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2017","2017",10.4,,
"F01_2","01.2 Foreign economic aid","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2017","2017",21.7,,
"F01_2","01.2 Foreign economic aid","D9","Capital transfers (D.9)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_2","01.2 Foreign economic aid","P3","Final consumption expenditure (P.3)","S1312","Communities and regions","A","Annual","2017","2017",17.9,,
"F01_3","01.3 General services","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2017","2017",1455.7,,
"F01_3","01.3 General services","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2017","2017",-71.1,,
"F01_3","01.3 General services","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2017","2017",898.3,,
"F01_3","01.3 General services","D3","Subsidies (D.3)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_3","01.3 General services","D4","Property income paid (D.4)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_3","01.3 General services","D62_D6311_D63121_D63131","Social benefits other than social transfers in kind and social transfers in kind - purchased market production (D.6M)","S1312","Communities and regions","A","Annual","2017","2017",0,,
"F01_3","01.3 General services","P2_D29_D5_D8","Intermediate consumption  + Other taxes on production + Current taxes on income, wealth, etc. + Adjustment for the change in net equity of households in pension entitlements (OEC)","S1312","Communities and regions","A","Annual","2017","2017",586.5,,
"F01_3","01.3 General services","D7","Other current transfers (D.7)","S1312","Communities and regions","A","Annual","2017","2017",39.7,,
"F01_3","01.3 General services","D9","Capital transfers (D.9)","S1312","Communities and regions","A","Annual","2017","2017",2.3,,
"F01_3","01.3 General services","P3","Final consumption expenditure (P.3)","S1312","Communities and regions","A","Annual","2017","2017",-157.8,,
"F01_4","01.4 Basic research","TOT","Total government expenditure","S1312","Communities and regions","A","Annual","2017","2017",4646.1,,
"F01_4","01.4 Basic research","P5_K2","Gross capital formation + acquisitions less disposals of non-financial non-produced assets (OP.5ANP)","S1312","Communities and regions","A","Annual","2017","2017",2221.4,,
"F01_4","01.4 Basic research","D1","Compensation of employees (D.1)","S1312","Communities and regions","A","Annual","2017","2017",1779.3,,
